,Cell type,X location,Y location,Z location
0,AAC in SO layer,380,460,360
1,AAC in SO layer,340,880,380
2,AAC in SO layer,180,260,320
3,AAC in SO layer,200,200,400
4,AAC in SO layer,100,920,380
5,AAC in SO layer,280,140,440
6,AAC in SO layer,100,880,340
7,AAC in SO layer,140,580,360
8,AAC in SO layer,100,120,340
9,AAC in SO layer,240,1000,400
10,AAC in SO layer,40,840,340
11,AAC in SO layer,160,420,360
12,AAC in SO layer,160,520,440
13,AAC in SO layer,200,420,340
14,AAC in SO layer,80,520,320
15,AAC in SO layer,100,880,420
16,AAC in SO layer,180,0,460
17,AAC in SO layer,140,40,460
18,AAC in SO layer,120,580,380
19,AAC in SO layer,180,160,440
20,AAC in SO layer,220,980,460
21,AAC in SO layer,200,640,340
22,AAC in SO layer,360,980,360
23,AAC in SO layer,280,940,440
24,AAC in SO layer,320,920,360
25,AAC in SO layer,180,340,440
26,AAC in SO layer,260,800,460
27,AAC in SO layer,200,780,320
28,AAC in SO layer,0,720,340
29,AAC in SO layer,260,920,320
30,AAC in SO layer,20,960,360
31,AAC in SO layer,280,20,360
32,AAC in SO layer,380,120,320
33,AAC in SO layer,280,680,360
34,AAC in SO layer,0,1000,400
35,Pyr in SP layer,288,192,314
36,Pyr in SP layer,152,888,298
37,Pyr in SP layer,272,560,290
38,Pyr in SP layer,344,176,322
39,Pyr in SP layer,200,736,322
40,Pyr in SP layer,256,456,306
41,Pyr in SP layer,48,800,306
42,Pyr in SP layer,104,768,290
43,Pyr in SP layer,96,960,298
44,Pyr in SP layer,288,944,290
45,Pyr in SP layer,360,880,314
46,Pyr in SP layer,72,160,290
47,Pyr in SP layer,40,264,298
48,Pyr in SP layer,400,544,322
49,Pyr in SP layer,344,944,314
50,Pyr in SP layer,176,776,306
51,Pyr in SP layer,112,560,298
52,Pyr in SP layer,8,776,298
53,Pyr in SP layer,80,320,314
54,Pyr in SP layer,0,232,298
55,Pyr in SP layer,208,632,314
56,Pyr in SP layer,64,112,306
57,Pyr in SP layer,344,888,290
58,Pyr in SP layer,304,408,314
59,Pyr in SP layer,88,776,290
60,Pyr in SP layer,392,680,322
61,Pyr in SP layer,56,960,322
62,Pyr in SP layer,168,112,322
63,Pyr in SP layer,32,888,290
64,Pyr in SP layer,392,1000,290
65,Pyr in SP layer,32,816,306
66,Pyr in SP layer,256,552,298
67,Pyr in SP layer,96,480,314
68,Pyr in SP layer,152,384,322
69,Pyr in SP layer,304,0,322
70,Pyr in SP layer,312,264,290
71,Pyr in SP layer,184,104,298
72,Pyr in SP layer,192,168,290
73,Pyr in SP layer,88,992,290
74,Pyr in SP layer,24,280,314
75,Pyr in SP layer,48,824,298
76,Pyr in SP layer,152,712,298
77,Pyr in SP layer,304,176,290
78,Pyr in SP layer,136,208,322
79,Pyr in SP layer,0,272,298
80,Pyr in SP layer,104,72,314
81,Pyr in SP layer,264,528,314
82,Pyr in SP layer,256,400,306
83,Pyr in SP layer,344,584,322
84,Pyr in SP layer,384,640,322
85,Pyr in SP layer,136,160,322
86,Pyr in SP layer,96,768,314
87,Pyr in SP layer,88,464,306
88,Pyr in SP layer,48,344,298
89,Pyr in SP layer,240,240,314
90,Pyr in SP layer,8,888,322
91,Pyr in SP layer,136,760,298
92,Pyr in SP layer,368,696,306
93,Pyr in SP layer,48,984,322
94,Pyr in SP layer,192,160,314
95,Pyr in SP layer,328,320,306
96,Pyr in SP layer,320,136,298
97,Pyr in SP layer,208,496,322
98,Pyr in SP layer,392,896,314
99,Pyr in SP layer,296,664,290
100,Pyr in SP layer,176,440,306
101,Pyr in SP layer,192,24,290
102,Pyr in SP layer,8,680,314
103,Pyr in SP layer,120,840,290
104,Pyr in SP layer,88,352,290
105,Pyr in SP layer,96,928,314
106,Pyr in SP layer,240,920,314
107,Pyr in SP layer,168,672,314
108,Pyr in SP layer,56,280,290
109,Pyr in SP layer,48,400,314
110,Pyr in SP layer,248,648,298
111,Pyr in SP layer,256,744,314
112,Pyr in SP layer,0,168,298
113,Pyr in SP layer,80,960,306
114,Pyr in SP layer,376,952,322
115,Pyr in SP layer,384,784,322
116,Pyr in SP layer,64,8,298
117,Pyr in SP layer,280,208,322
118,Pyr in SP layer,256,88,306
119,Pyr in SP layer,360,888,290
120,Pyr in SP layer,400,840,322
121,Pyr in SP layer,392,176,306
122,Pyr in SP layer,168,240,290
123,Pyr in SP layer,344,200,322
124,Pyr in SP layer,272,520,290
